name,url,sku,gtin13,price,currency,availability,description,brand,breadcrumbs,images,avg_rating,reviews_count,pack_size,ingredients,storage_details,product_origin,percentage_alcohol,serving_size,nutrition,uniq_id,scraped_at
Tesco Spanish Serrano Ham 80G,https://www.tesco.com/groceries/en-GB/products/273429726,273429726,05052909256892,1.27,GBP,InStock,Dry cured Spanish ham.,TESCO,"Fresh Food~Cooked Meats, Antipasti & Dips~Chorizo, Salami & Continental Meats",https://digitalcontent.api.tesco.com/v2/media/ghs/920371a0-bede-44b7-91f1-15c4a256ed4e/ef7bfb9c-9b1d-45a8-b58a-9473e10250ec.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/36a59e0d-5b4d-41b2-8ec3-178eb4e27eae/25c0e08c-3dc3-4868-baac-4cd57ce2df4c_518011969.jpeg,3.1,7,Pack size: 80G,,"Keep refrigerated. Once opened, consume within 3 days and by 'use by' date shown.    ","Produced in Spain, using pork from Spain",,5 Servings,"[{'Energy': '1043kJ / 250kcal'}, {'Fat': '13.7g'}, {'Saturates': '4.9g'}, {'Carbohydrate': '0.9g'}, {'Sugars': '0.9g'}, {'Fibre': '1.0g'}, {'Protein': '30.1g'}, {'Salt': '4.58g'}, {'* Reference intake of an average adult (8400 kJ / 2000 kcal)': '-'}, {'As Sold.': '-'}]",42bf5055-6558-5c97-a7a2-78b8e1b7129c,12/19/22
Coconut Collaborative Dairy Free Salted Caramel 4X45g,https://www.tesco.com/groceries/en-GB/products/300876656,300876656,05060426811333,2.75,GBP,InStock,"Salted caramel chocolate ganache. Plant Based,Great taste 2017,122 Calories Per Pot,Free from Dairy but Not Temptation,Gluten Free,Palm Oil Free,Dairy Free,Only 122 Calories,Suitable for vegans",COCONUT COLLABORATIVE,Fresh Food~Dairy Free & Dairy Alternatives~Dairy Free Desserts,https://digitalcontent.api.tesco.com/v2/media/ghs/be9970e0-0f63-4a66-8a37-56dc3a783d6e/026be78f-77ce-4cc7-a0d3-3408d21c3557.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/8f6d9f08-0539-494f-9451-c950f4a289e6/32d66883-0659-4ce7-9d28-6fb28870c326_1444527285.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/56c2e30a-98ac-4397-9b0e-56d56bd358de/d24afc68-133f-42e1-a25a-3d5648864bc7_798695281.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/68cb47a9-4a87-4de5-8f9c-956c34430dca/f7fe4bb3-244a-458d-b1ec-0ca634a18abe_769693104.jpeg,4.6,55,Pack size: 180G,"Coconut Cream (35%) (Coconut Extract, Water), Dark Chocolate (18%) (Cocoa Mass, Sugar, Emulsifier (Soya Lecithin), Natural Vanilla Flavouring), Water, Caramel (15%) (Sugar, Water), Sugar, Cocoa Powder (2%), Stabilisers (Carrageenan, Guar Gum), Tapioca Starch, Salt, Emulsifier (Mono & Diglycerides of Fatty Acids), Natural Flavourings",Store in a cool and dry place.,Made in Belgium from EU and non-EU origin ingredients,,,"[{'Energy': '1132kJ'}, {'-': '270kcal'}, {'Fat': '15g'}, {'of which Saturates': '12g'}, {'Carbohydrate': '31g'}, {'of which Sugars': '27g'}, {'Fibre': '3.0g'}, {'Protein': '2.2g'}, {'Salt': '0.36g'}]",cad8f898-0242-5894-ad2c-ae67ce5c6659,12/19/22
Old Spice Deep Sea Deodorant Stick 50Ml,https://www.tesco.com/groceries/en-GB/products/308838177,308838177,08001841283944,3,GBP,OutOfStock,"OLD SPICE DEEP SEA DEOD STK 50ML . Features our Deep Sea fragrance with a fresh ocean scent and notes of citrus,Provides 24-hour odour protection, in case you need to climb a mountain, fight off a bear, and ride an elevator all in the same day,Doesn't like to be confused with a roll on deodorant - our dry sticks get the job done way faster,Whether you are buying a deodrant, deoderant or deodarant, we hope you enjoy our smell-tastic scents!",OLD SPICE,Health & Beauty~Men's Toiletries~Deodorants,https://digitalcontent.api.tesco.com/v2/media/ghs/951f6595-3b7a-43ba-8545-dcf32d85d84b/d6824e66-c2b0-4585-99ad-6feb849fb4c7_1218815219.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/e1ade3a4-3a93-458d-8b57-007a0d9270f4/435c7330-d232-4134-adef-22b3ee6cfb6a_1110708988.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/8d9309d7-c21c-437e-a92c-906530e68c42/f5d6fe49-a4e6-4d15-bab1-d659063b3d2b_78184630.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/67508918-9ef5-437e-ace3-42f85524731d/9d3733c8-750b-4656-ba55-9664c65dfbc5_886892475.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/656dc54f-2c65-4475-ab6d-d93feeff8371/aeb86f30-1c54-4c3c-9276-7d8b340bae2b_2114908871.jpeg,4.2,1579,Pack size: 50ML,"Dipropylene Glycol, Aqua, Propylene Glycol, Sodium Stearate, Poloxamine 1307, Parfum, PPG-3 Myristyl Ether, Tetrasodium EDTA, Linalool, Hexyl Cinnamal, Limonene, Coumarin, Geraniol, Citronellol, Citral, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, CI 61565",,,,,[],cf848c0e-2619-54ee-b8a5-f9826b2e5367,12/19/22
Tesco Garlic Mayonnaise 235Ml,https://www.tesco.com/groceries/en-GB/products/311267116,311267116,05059697727511,0.9,GBP,InStock,Tesco Garlic Mayonnaise 235Ml,TESCO,"Food Cupboard~Table Sauces, Olives, Pickles & Chutney~Mayonnaise",https://digitalcontent.api.tesco.com/v2/media/ghs/b7149993-c1f8-417b-b58e-f58c131c8ccc/eb1dd03a-84c1-456d-b11a-119cf3174a3b_1052833457.jpeg,4.7,3,Pack size: 235ML,,,,,,[],e956e2e4-7dd0-5655-84b4-21d7dc0b8fba,12/19/22
Rubicon Passion Fruit Juice Drink 1Ltr,https://www.tesco.com/groceries/en-GB/products/254390067,254390067,05011898008011,1.5,GBP,InStock,"Passion Fruit Juice Drink with Sugars & Sweeteners. Carbon Trust. Reducing CO2 Packaging. The Carbon Trust™ certifies that Tetra Pak has reduced the carbon footprint of this packaging by 21% by switching to plastics made from sugar cane. For more information, visit carbontrust.com/tetrapak. Made with the Finest Handpicked Passion Fruit,Rich in Vitamin C,Made with Real Fruit Juice,Suitable for Vegans",RUBICON,Food Cupboard~World Foods~African & Caribbean,https://digitalcontent.api.tesco.com/v2/media/ghs/2fb8f383-0a24-4703-b9fc-8eb80c8c68bf/45c25e82-10b2-4aa1-b241-c1c33dd9e9ab_1138372108.jpeg,4,2,Pack size: 1L,"Water, Passion Fruit Juice from Concentrate (13%), Sugar, Fructose, Stabiliser (Pectin), Flavourings, Vitamin C, Acid (Citric Acid), Sweeteners (Sucralose, Acesulfame K)","Store in a cool, dry place. Once opened, keep refrigerated and consume within 3 daysBest before end - see top of pack",,,Each pack contains 5 x 200ml servings,"[{'Energy': '89kJ/21kcal'}, {'Fat': '<0.5g'}, {'of which saturates': '<0.1g'}, {'Carbohydrate': '4.5g'}, {'of which sugars': '4.4g'}, {'Protein': '<0.5g'}, {'Salt': '0.02g'}, {'Vitamin C': '30mg (38%*)'}, {'* Percentage of the reference intake of an average adult': '-'}]",8fba543e-26d4-568e-8ea8-29d073c54cbf,12/19/22
Cannaray Muscle Balm Cbd 250Mg Aloe Arnica 60Ml,https://www.tesco.com/groceries/en-GB/products/305959849,305959849,05025404006026,22.5,GBP,InStock,"Cannaray Muscle Balm CBD 250mg Aloe Arnica 60ml . Discover our range at cannaraycbd.com. 250mg per jar,High strength,Triple lab tested,THC-free,Sulphate & GMO free,Suitable for Vegetarians",CANNARAY BRANDS,"Health & Beauty~Vitamins, Minerals & Supplements~Sleep Aid & Stress",https://digitalcontent.api.tesco.com/v2/media/ghs/6f046558-713f-4924-b90f-3b5757210554/e7839bec-70f7-41d2-bf4f-4cacf8967305_975711428.jpeg,4,3,Pack size: 60ML,"Olea Europaea Oil, Cera Alba, Butyrospermum Parkii Butter, Aloe Barbadensis Leaf Juice, Triethyl Citrate, Helianthus Annuus Seed Oil, Simmondsia Chinensis Seed Oil, Rosmarinus Officinalis Leaf Oil, Eucalyptus Globulus Leaf Oil, Tocopherol, Cannabidiol, Arnica Montana Flower Extract, Citrus Aurantifolia, Peel Oil, Carrageenan, Citric Acid, Potassium Sorbate, Allergens: D-Limonene, Linalool, Citral",Keep out of direct sunlight and below 25°C.,Made in USA,,,[],ecb2dc80-3754-5ff2-b14c-5b2ec13a6dcc,12/19/22
Cadbury Dairy Milk Chunk Pouch 350G,https://www.tesco.com/groceries/en-GB/products/312095179,312095179,07622201799458,3.5,GBP,OutOfStock,"Milk chocolates. BeTreatwise.net. Cocoa Life. Partnering with Fairtrade Foundation. To improve the lives of cocoa farmers & our environment. By eating Cadbury, you've been encouraging environmental sustainability. Cocoa Life helps farmers get the most from their cocoa trees through environmentally friendly farming. WWW.COCOALIFE.ORG. 100% Sustainably Sourced Cocoa,The Classic Creamy Taste,Suitable for vegetarians",CADBURY,Food Cupboard~Christmas Treats~Chocolate Tubs & Tins,https://digitalcontent.api.tesco.com/v2/media/ghs/a6864960-5a41-48c1-8bc0-7c277f49c7a4/619ff361-db06-44e3-a3ea-e0fb067c066a_1043841400.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/cbe322e3-8683-47b3-8516-887637a48966/16698bd2-6156-4a8a-83bc-2c2c5d5ee84f_953287071.jpeg,5,1,Pack size: 350G,"Milk**, Sugar, Cocoa Butter, Cocoa Mass, Vegetable Fats (Palm, Shea), Emulsifier (E442), Flavourings, **The equivalent of 426 ml of Fresh Liquid Milk in every 227 g of Milk Chocolate, Milk Solids 20 % minimum, actual 23 %, Cocoa Solids 20 % minimum, Contains Vegetable Fats in addition to Cocoa Butter",Store in a dry place. Protect from heat.,,,15-16 portions per pack,"[{'Energy': '2231 kJ'}, {'-': '534 kcal'}, {'Fat': '30 g'}, {'of which Saturates': '18 g'}, {'Carbohydrate': '57 g'}, {'of which Sugars': '56 g'}, {'Fibre': '2.1 g'}, {'Protein': '7.4 g'}, {'Salt': '0.24 g'}, {'*% reference intake of an average adult (8400 kJ 2000 kcal)': '-'}]",b0fafdfb-402b-5150-86f5-996bb4d90ce9,12/19/22
Bonne Maman Intense Strawberry Jam 335G,https://www.tesco.com/groceries/en-GB/products/303879723,303879723,03608580968580,3.2,GBP,InStock,Reduced sugar strawberry extra jam with 30% less sugar than a classic Bonne Maman jam.,BONNE MAMAN,"Food Cupboard~Jams, Sweet & Savoury Spreads~Jams",https://digitalcontent.api.tesco.com/v2/media/ghs/7d7c6065-b324-4ae5-a7e9-d780295bfb8e/69d44737-855c-48a9-aed7-6e2e9265b294_1623731693.jpeg,3.4,20,Pack size: 335G,"Strawberries, Sugar, Blackcurrant Juice, Concentrated Lemon Juice, Gelling Agent: Fruit Pectins, Prepared with 67 g of Fruit per 100 g of finished product",Best before end: see side of lid. Refrigerate after opening and consume within 3 weeks. For inquiries please quote information on side of lid.,,,,"[{'Energy:': '688 kJ/162 kcal'}, {'Fat:': '0.1 g'}, {'of which saturates:': '0 g'}, {'Carbohydrate:': '39 g'}, {'of which sugars:': '39 g'}, {'Fibre:': '1.6 g'}, {'Protein:': '0.5 g'}, {'Salt:': '0 g'}]",29df81a4-dd72-5e7b-aac2-4c885f69fbb5,12/19/22
Mighty Milk Shake Salted Caramel Dairy Free Drink 330Ml,https://www.tesco.com/groceries/en-GB/products/311939727,311939727,05060674960449,1.6,GBP,InStock,"UHT pea protein-based drink with added vitamins and minerals. Each MIGHTY Salted Caramel shake is a tasty source of Vitamin D, B12 & Iodine,Free from dairy, nuts, soy and gluten.,Each m.lkshake is 100% vegan.,6g of protein per carton for a plant-based protein punch.",MIGHTY,"Fresh Food~Milk, Butter & Eggs~Dairy Free Drinks",https://digitalcontent.api.tesco.com/v2/media/ghs/abf0c4e4-2ab4-4e3a-9199-2b940d142a27/db77d5eb-a091-4b39-a0a1-4dc978ffb379_897671413.jpeg,,,Pack size: 330ML,"Water, Agave Syrup, Pea Protein Isolate (2%), Rapeseed Oil, Sunflower Oil, Fermented Pea, Cornflour, Calcium Carbonate, Colour (Burnt Sugar), Natural Flavourings, Sea Salt, Stabiliser (Gellan Gum), Iodine, Vitamins (B12, D)",Once opened keep refrigerated and consume within 2 days.Best before: see the top of pack.,,,,"[{'Energy': '61kcal/254kJ'}, {'Fat': '3.4g'}, {'of Which Saturates': '0.5g'}, {'of Which Mono-Unsaturates': '1.1g'}, {'of Which Polyunsaturates': '1.7g'}, {'Carbohydrate': '5.6g'}, {'of Which Sugars': '4.4g'}, {'Fibre': '0.1g'}, {'Protein': '2.0g'}, {'Salt': '0.33g'}, {'Vitamin D': '0.76µg 15% RI†'}, {'Vitamin B12': '0.91µg 36% RI†'}, {'Calcium': '120mg 15% RI†'}, {'Iodine': '30µg 20% RI†'}, {'Vitamins & Minerals': '-'}, {'†Reference intake of an average adult (8400kJ / 2000kcal)': '-'}]",411e2be2-106f-51e4-b8fe-3c119484a3d2,12/19/22
Pilot Frixion Black Set In Case,https://www.tesco.com/groceries/en-GB/products/287123980,287123980,03131910236238,10,GBP,InStock,"Pilot Frixion Black Set In Case. Remove your mistakes by rubbing with the eraser stud. 2x retractable rollerballs 0.7mm. Includes 2 erasable pens, 1 erasable highlighter, 3 refills &amp; a pencil case. Join us on:. https://www.facebook.com/pilotpenuk. Unique gel ink responds to the heat generated by rubbing out allowing you to write over your mistake immediately with the same pen,Set includes x 2 FriXion Ball Medium Erasable Pens, x 1 FriXion Light Erasable Highlighter and x 3 FriXion Ball Refills,0.7mm tip gives a 0.35mm medium line",PILOT,"Home & Ents~Stationery, Arts & Crafts~Pens & Pencils",https://digitalcontent.api.tesco.com/v2/media/ghs/30536359-376b-4ad7-850e-02807e03f34b/929e64d8-9f42-4702-bb36-cbba8d8051dd_911358539.jpeg,5,4,,,,,,,[],9e1b4f94-9392-5658-bd95-3e824da434c8,12/19/22
The Gym Kitchen Beef Lasagne 400G,https://www.tesco.com/groceries/en-GB/products/310146434,310146434,05060084348356,2.5,GBP,InStock,"Cooked Lasagne pasta sheets layered with a minced beef and lentil tomato and red wine sauce, and a white sauce topped with grilled peppers. Food to Fuel,High in Protein,24g Protein,352 Calories Per Serving,2 of Your a Day,Macro Friendly,Cook Straight from Frozen,38g Carbs Per Serving,10g Fat Per Meal,Low in Fat",THE GYM KITCHEN,Frozen Food~Frozen Ready Meals~Frozen Italian & Mediterranean Ready Meals,https://digitalcontent.api.tesco.com/v2/media/ghs/9fb4d897-f221-4dfa-8794-48282ee65358/d4f0a8a3-5146-4f0c-8c3e-7c79b2ad084c.jpeg,3.2,13,Pack size: 400G,"Meat Sauce (Beef (18%), Tomato, Water, Onion, Lentils (3%), Tomato Puree, Beef Bouillon (Beef Stock (Water, Beef Fat, Beef Extract, Salt), Yeast Extract, Sugar, Caramelised Sugar Syrup, Sea Salt, Cornflour, Mushroom Extract, Red Wine Extract, Flavourings, Black Pepper), Carrot, Red Wine, Modified Maize Starch, Garlic Purée, White Wine, Yeast Extract, Protein Flour (Fortified Wheat Flour (Wheat Flour, Calcium Carbonate, Niacin, Iron, Thiamin), Wheat Gluten), Flavouring, Fortified Wheat Flour (Wheat Flour, Calcium Carbonate, Niacin, Iron, Thiamin), Basil, Oregano, Parsley, Onion Powder, Rosemary, Salt, Paprika, Black Pepper, Thyme), White Sauce (Butternut Squash, Semi -Skimmed Milk, Water, Reduced Fat Cheese (Milk), Modified Maize Starch, Flavouring, Sugar, Protein Flour (Fortified Wheat Flour (Wheat Flour, Calcium Carbonate, Niacin, Iron, Thiamin), Wheat Gluten), Yeast Extract, Nutmeg, Ground Bay Leaf), Grilled Peppers (12%) (Red Pepper, Yellow Pepper), Lasagne Sheets (9%) (Durum Wheat Semolina, Water)",For best before end date:see side of pack. Keep Frozen <-18°C,,,This pack provides 1 serving,"[{'Energy kJ': '1479'}, {'Energy kcal': '352'}, {'Fat, total': '10g'}, {'- saturates': '4.2g'}, {'Carbohydrate': '38g'}, {'- sugars': '12g'}, {'Fibre': '7.4g'}, {'Protein': '24g'}, {'Salt': '1.6g'}, {'*Reference intake of an average adult (8400 kJ / 2000kcal)': '-'}, {'This pack provides 1 serving': '-'}]",62145178-96bf-5352-a83a-123cd4f66e2d,12/19/22
Tesco Extracts Apple Shampoo 500Ml,https://www.tesco.com/groceries/en-GB/products/301281338,301281338,05057753430108,0.75,GBP,InStock,Tesco Extracts Apple Shampoo,TESCO EXTRACTS,Health & Beauty~Shampoo~Normal Hair - Everyday Shampoo,https://digitalcontent.api.tesco.com/v2/media/ghs/be6f491f-1c19-4dd7-902e-6fa970cbdcb7/2eddeb98-551a-44c7-8b27-27284c976f8d_263368033.jpeg,4.7,6,Pack size: 500ML,"INGREDIENTS: Aqua, Sodium Laureth Sulfate, Sodium Chloride, Cocamidopropyl Betaine, Parfum, Glycerin, Hexylene Glycol, Propylene Glycol, Sodium Benzoate, Citric Acid, Panthenol, Potassium Sorbate, Benzophenone-4, Hexyl Cinnamal, Tetrasodium Glutamate Diacetate, Polyquaternium-7, Pyrus Malus Fruit Extract, Sodium Hydroxide, CI 19140, CI 42090, CI 14700.",Do not store in direct sunlight ,Produced in the U.K.,,,[],4231464f-d7e3-5297-98a6-9c7bf32852df,12/19/22
Smarties Pouch 105G,https://www.tesco.com/groceries/en-GB/products/308833384,308833384,07613039535042,1.25,GBP,InStock,"Milk chocolate (65%) in a crisp sugar shell. www.smarties.co.uk. www.smarties.co.uk/smart-initiatives. Smooth milk chocolate covered in colourful crisp sugar shells - what's your favourite?,A deliciously fun and colourful treat in a convenient Smarties® Bag,Includes orange Smarties®, made using natural orange oil,Coloured using food & plant extracts - no artificial flavours, colours or preservatives,Quality, 100% certified sustainable cocoa beans selected through the Nestlé® Cocoa Plan®",SMARTIES,"Food Cupboard~Chocolate, Sweets, Mints & Chewing Gum~Block Chocolate Bars",https://digitalcontent.api.tesco.com/v2/media/ghs/52bd05f2-9eff-4d88-9af5-049837634295/15dff055-8e4a-4bec-b23f-b40846fcbac2_869265442.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/a469d1e1-441b-45ee-aa25-d34e7ddfdde5/7d427805-90e2-4ccf-82ba-e4d817c3e475_686572736.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/897addd4-a491-424b-82cb-be47f2a3620e/2054c780-089c-472b-bc6b-dbc96e964bbb_275720838.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/b56f8ddb-8d30-4e47-991f-e9c9aaa8fb61/e005eb40-c537-4826-b429-4e454b75dc1a_2081014608.jpeg,3.4,5,Pack size: 105G,"Sugar, Skimmed Milk Powder, Cocoa Mass, Cocoa Butter, Wheat Flour, Butterfat (from Milk), Lactose and Proteins from Whey (from Milk), Rice Starch, Emulsifier (Lecithins), Colours (Beetroot Red, Carotene, Curcumin), Natural Flavouring, Spirulina Concentrate, Glazing Agents (Carnauba Wax, Beeswax White), Fruit and Vegetable Concentrates (Safflower, Radish), Barley Malt Extract",Store Cool and Dry,,,Contains approximately 5 servings,"[{'Energy': '1973kJ'}, {'Energy (kcal)': '470kcal'}, {'Fat': '18.8g'}, {'of which: saturates': '11.4g'}, {'Carbohydrate': '68.0g'}, {'of which: sugars': '62.8g'}, {'Fibre': '1.8g'}, {'Protein': '6.3g'}, {'Salt': '0.12g'}, {'*Reference Intake of an average adult (8400kJ/2000kcal)': '-'}, {'Contains approximately 5 servings': '-'}, {'Portions should be adjusted for children of different ages': '-'}]",cfde4263-8a83-5232-9cf6-c2cdf5e5d0d7,12/19/22
Woodside Farms Pork Belly Slices 500G,https://www.tesco.com/groceries/en-GB/products/292285964,292285964,05054775750597,3.15,GBP,InStock,Pork Belly Slices,WOODSIDE FARMS,Fresh Food~Fresh Meat & Poultry~Fresh Pork,https://digitalcontent.api.tesco.com/v2/media/ghs/737d7b9f-0098-4ac2-9910-7ae842bc1fd0/f800ba78-95f9-4ed8-8859-54c6e7cfd8ff.jpeg,2.9,47,Pack size: 500G,,"Suitable for home freezing. Ideally freeze as soon as possible after purchase but always by 'use by' date shown.    
Defrost thoroughly in the fridge before use
    Once defrosted use on the same day
    Do not refreeze
    Follow the preparation guidelines above.
    
Keep refrigerated. Once opened, use immediately.
    ","Produced in Northern Ireland, using pork from Produced using Pork from the U.K, Northern Ireland",,n/a Servings,"[{'Energy': '1266kJ / 306kcal'}, {'Fat': '26.8g'}, {'Saturates': '12.4g'}, {'Carbohydrate': '0.1g'}, {'Sugars': '0.1g'}, {'Fibre': '0.3g'}, {'Protein': '15.9g'}, {'Salt': '0.30g'}]",f06bba85-c17b-53ec-a1e0-f4b0d86dc394,12/19/22
Optrex Brightening Drops 10Ml,https://www.tesco.com/groceries/en-GB/products/263847471,263847471,00000050150397,4.7,GBP,InStock,Brightening Eye Drops. For dazzling eyes in an instant,OPTREX,Health & Beauty~Lifestyle & Wellbeing~Eye Care & Glasses,https://digitalcontent.api.tesco.com/v2/media/ghs/9d37dbeb-225d-4d81-a5a5-061d824c5b20/a718870f-1032-4f8f-8b42-76bc0917c23d_1116633395.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/b688b40a-a118-41ec-88ce-1e07db58976b/d9c8e3dd-d59c-4bff-bd00-2c3d33881274_475209752.jpeg,,,Pack size: 10ML,"Aqua, Hamamelis Water, Boric Acid, Glycerine, Disodium EDTA, Polysorbate 80, Sodium Borate, Didecyldimonium, Naphazoline HCL","Store below 25ºC.Protect from sunlight.
Discard 28 days after opening.",,,,[],f11c2f34-fe1e-5724-afd9-8fd947f66b9c,12/19/22
Tesco Saucepan 18Cm,https://www.tesco.com/groceries/en-GB/products/300408987,300408987,05057753093280,7,GBP,InStock,Tesco Saucepan 18Cm,TESCO HOME,Home & Ents~Cooking & Dining~Pots & Pans,https://digitalcontent.api.tesco.com/v2/media/ghs/4c35d9ad-0630-426e-a3dd-26515570e2a9/b06a758d-4001-47a3-8f15-bbd03d11d5c8_282260067.jpeg,2.3,3,,,,,,,[],65cd3c79-8b7b-5b67-a7e7-191642217a12,12/19/22
Maison No.9 Rose Wine 75Cl,https://www.tesco.com/groceries/en-GB/products/309206198,309206198,03760033598826,19,GBP,InStock,Maison NO.9 Rose Wine 75CL . Wine of France,MAISON NO 9,Drinks~Wine~Rose Wine,https://digitalcontent.api.tesco.com/v2/media/ghs/14c23e51-b0c8-4b92-9e72-480d65297429/aee78d7f-eb46-4a6b-838e-e32a9a83f5d0_1119780035.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/214b8bb1-d4a1-4959-99f7-9c161da5ba82/f48b6e73-ab43-45fd-a6fa-4584a03f3821_1080269324.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/acd6ea85-3b5b-47eb-a16c-26828134e0bd/6043448b-93e1-49dd-a5a0-d649cc5a5b42_581100145.jpeg,5,1,Pack size: 750ML,,,Product of France,12% vol,,[],a00efd0d-8897-5229-8121-6431714c1b4f,12/19/22
Starbucks Double Shot Expresso 200Ml,https://www.tesco.com/groceries/en-GB/products/312108500,312108500,05711953145315,2.1,GBP,InStock,"Milk drink with Starbucks® Arabica coffee. Committed to 100% Ethical Coffee Sourcing in partnership with Conservation International.. starbucks.com/social-impact. Espresso + Milk,Sterilised,Starbucks Doubleshot® Espresso iced coffee is inspired by a true Starbucks coffeehouse original.,It's simply made with two bold shots of our signature espresso coffee and smooth creamy milk.,Get going on the double with this chilled coffee whenever you need a quick uplift.,A perfect way to kick start your day or to keep you going through a busy day.,To enjoy 'Starbucks Doubleshot® Espresso iced coffee at its best, serve it chilled or over the ice and gently shake to wake the flavours.,For a lighter way to get your chilled coffee kick, try Starbucks Doubleshot® Espresso No Added Sugar.,Starbucks® coffees are made with 100% arabica coffee and verified as responsibly sourced by Coffee and Farmer Equity (C.A.F.E.) Practices. Developed in collaboration with Conservation International, C.A.F.E Practices is a veri-fication program that measures farms against economic, social and environmental criteria. For more details please visit:  https://stories.starbucks.com/press/2020/cafe-practices-starbucks-approach-to-ethically-sourcing-coffee/",STARBUCKS,Drinks~Coffee~Iced Coffee,https://digitalcontent.api.tesco.com/v2/media/ghs/f5ee3cb5-04d1-42e9-ace3-4e773e03f1f4/1053e18b-9006-4838-aa6d-74828306df58_1835696201.jpeg,,,Pack size: 200ML,"3.3% Fat Milk (75%), Starbucks® Arabica Coffee (Water, Coffee Extract) (19.2%), Sugar (4.7%), Chicory Inulin, Natural Coffee Flavouring, Acidity Regulator (Potassium Carbonate)",Best before: See base.,,,,"[{'Energy:': '308kJ/73kcal'}, {'Fat:': '2.6g'}, {'of which saturates:': '1.7g'}, {'Carbohydrate:': '9.1g'}, {'of which sugars:': '8.6g'}, {'Protein:': '2.8g'}, {'Salt:': '0.10g'}]",b31c3641-805b-5380-9182-01c69e8593db,12/19/22
Tesco Diamond Geo Bath Towel,https://www.tesco.com/groceries/en-GB/products/311735824,311735824,05059944603322,8,GBP,InStock,"TESCO DIAMOND GEO BATH TOWEL . Bath Towel,Geo",TESCO HOME,Home & Ents~Bathroom Accessories & Towels~Towels,https://digitalcontent.api.tesco.com/v2/media/ghs/b61aadaa-c9df-4176-b483-38b1e26cb515/b091ba05-43c5-4d54-9322-78b3ac557215_460599897.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/56188d7d-0012-43a9-a1f9-d07b65f66599/625d1add-88bd-467b-858f-fec448fcffbd_759835388.jpeg,,,,,,,,,[],4dc0a047-36dc-5c98-a654-bec75c4da4de,12/19/22
Tango Orange 6X330ml Pack,https://www.tesco.com/groceries/en-GB/products/254856548,254856548,05010041000933,2.75,GBP,InStock,"Carbonated Orange Soft Drink with Sugar and Sweeteners. For more information follow us on social media @drinktango. Orange flavoured fizzy drink,Tango is the standout orange recipe you know and love,Tango provides an instant burst of tangy flavour in every sip,Free of artificial colours & flavours,Suitable for vegetarians and vegans",BRITVIC,Drinks~Fizzy & Soft Drinks~Fizzy Drinks,https://digitalcontent.api.tesco.com/v2/media/ghs/6706bc0f-e600-47b6-a9ba-2b770e29d27d/cd016756-824d-4340-8217-25641417d17a_1393677476.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/78ea012b-24f7-43b0-a72f-cd636179f4bd/e2f13cfe-9503-4771-9cab-5b21bcfd8550_848332315.jpeg~https://digitalcontent.api.tesco.com/v2/media/ghs/02015202-c6eb-409d-98f4-b058b4280569/5bd16869-65ea-4866-ad0d-f05951fa0dbe_1153327467.jpeg,4,6,Pack size: 1980ML,"Carbonated Water, Orange Fruit from Concentrate (5%), Sugar, Acids (Citric Acid, Malic Acid), Natural Orange Flavouring, Acidity Regulator (Sodium Citrate), Sweeteners (Aspartame, Saccharin), Preservative (Potassium Sorbate), Antioxidant (Ascorbic Acid), Natural Colour (Carotenes)",Best Before End: See Base of Cans.,,,Pack contains 6 servings of 330ml,"[{'Energy ': '80kJ/19kcal'}, {'Fat ': '0g'}, {' of which Saturates ': '0g'}, {'Carbohydrate ': '4.3g'}, {' of which Sugars ': '4.3g'}, {'Protein ': '0g'}, {'Salt ': '0.06g'}]",6fab8d01-6bed-5a1e-a583-df1589f6baaa,12/19/22
